"ID","point5.8.dentigerous.arm.width.resids","point7.5.dentigerous.arm.base.resids","point1.2.lower.jaw.length.resids","point8.9.dentigerous.arm.depth.resids","point2.11.palatine.height.resids","point2.3.jaw.closing.inlever.resids","point15.16.cranial.height.resids","point14.15.orbit.diameter.resids","point2.18.suspensorium.length.resids","point9.10.ascending.proess.length.resids","point2.4.opening.inlever.resids","point12.19.nasal.tissue.protrusion.resids","point11.14.ectopterygoid.resids","point16.18.head.depth.resids","point12.13.maxillary.head.protrusion.resids","point6.11.maxilla.length.resids","point11.13.maxillary.head.height.resids","point17.18.pelvic.girdle.length.resids","population"
"C093",0.028921694,-0.063838719,0.041199977,0.023393602,-0.10948612,0.002004839,-0.002137955,0.074380322,-0.002646774,-0.139190524,0.254318483,-0.184094734,0.126687163,0.011527027,-0.052961802,0.023450427,0.046680977,0.101024129,"CRP"
"C094",0.058574743,0.084584242,0.01329271,-0.095529524,0.032351975,-0.047702944,0.136368202,0.021288914,0.02109034,0.032991366,0.165617572,0.310955372,0.057939192,0.071490899,-0.033543292,0.017945551,0.212539809,-0.072624227,"CRP"
"C095",0.039286446,-0.027652602,0.023176242,-0.044682191,0.054839591,-0.017793757,0.200712379,0.074095768,0.066634489,0.013600246,0.16134208,0.038223462,0.09358234,0.072183828,0.02508916,0.028338123,0.129279753,0.007977717,"CRP"
"C096",0.025902431,0.007059702,0.054767582,0.052797843,0.0604585,0.074759917,0.006153746,-0.008845924,0.065166069,0.096244053,0.143161978,0.069816433,0.14438749,0.045315405,0.019857112,0.04836742,0.248124983,-0.024939257,"CRP"
"C097",-0.070550572,-0.092998338,0.01407852,-0.060276685,-0.051355901,0.083756656,-0.058698598,-0.051441892,0.022679958,-0.238962897,0.033756417,-0.195332375,-0.123157212,-0.043981018,0.014772367,-0.023033395,-0.075426354,-0.102232826,"CRP"
"C100",-0.011565847,-0.056535702,-0.025820922,0.039786815,-0.044325163,0.040102615,-0.078563669,-0.029003038,0.014035062,-0.341967949,0.031356336,-0.915646974,-0.018007432,-0.040715269,0.032077345,0.005601926,0.032750537,-0.012811441,"CRP"
"C101",0.112159666,0.118352719,0.063418998,0.044029859,0.077454837,0.142402811,0.191958286,0.010816071,0.020549246,-0.047827736,-0.084465381,-0.242650271,-0.02293759,0.079588496,0.109078191,0.089554653,0.35304102,0.061259282,"CRP"
"C103",0.131498252,0.085442856,0.101087122,0.073936442,-0.023721909,0.034795241,0.031542677,0.060690253,-0.011904694,-0.140362027,0.042590743,-0.853759378,0.11140738,-0.028830311,0.206411578,0.039932898,0.411730094,0.07257344,"CRP"
"C104",0.082037821,-0.016395772,0.06888665,0.051376481,0.092566186,0.017443109,-0.047008714,0.025810135,0.002655461,0.055629546,-0.00908746,-0.252436009,-0.030571233,-0.039921329,-0.003536412,0.081156866,0.09996028,-0.069552769,"CRP"
"C105",-0.0285755,-0.072885914,-0.026199153,-0.053955258,-0.017213775,0.054860923,-0.037992485,0.012026915,-0.025287648,0.176204694,-0.131122219,0.210752468,-0.12794348,-0.044171912,-0.099824849,-0.007461283,-0.45729762,-0.010807415,"CRP"
